"High quality R-alpha-Lipoic Acid china supplier","1000","1100","1","Metric","1100.0","http://www.alibaba.com/product-detail/High-quality-R-alpha-Lipoic-Acid_60049763680.html","China (Mainland)","Shanghai Smart Chemicals Co., Ltd.","http___i00.i.aliimg.com_photo_v0_60049763680_High_quality_R_alpha_Lipoic_Acid_china.jpg"
"high quality Tacrolimus","1","1000","1","Gram","1000.0","http://www.alibaba.com/product-detail/high-quality-Tacrolimus_784365650.html","China (Mainland)","Xian Shunyi Bio-Chemical Technology Co., Ltd.","http___i00.i.aliimg.com_photo_v0_784365650_high_quality_Tacrolimus.jpg"
"High quality 99% D-Serine CAS#312-84-5","1","230","25","Kilograms","5750.0","http://www.alibaba.com/product-detail/High-quality-99-D-Serine-CAS_667500918.html","China (Mainland)","Orchid Chemical Supplies Ltd.","http___i00.i.aliimg.com_photo_v55_667500918_High_quality_99_D_Serine_CAS_312.jpg"
"High quality 99% D-Serine CAS#312-84-5","1","230","25","Kilograms","5750.0","http://www.alibaba.com/product-detail/High-quality-99-D-Serine-CAS_667500918.html","China (Mainland)","Orchid Chemical Supplies Ltd.","http___i00.i.aliimg.com_photo_v55_667500918_High_quality_99_D_Serine_CAS_312.jpg"
"albendazole API--Factory quality and price","10","20","1","Kilogram","20.0","http://www.alibaba.com/product-detail/albendazole-API-Factory-quality-and-price_661850632.html","China (Mainland)","Shangqiu Kangmeida Bio-Technology Co., Ltd.","http___i00.i.aliimg.com_photo_v1_661850632_albendazole_API_Factory_quality_and_price.jpg"
"Top quality Chitosan 9012-76-4","12","90","1","Kilogram","90.0","http://www.alibaba.com/product-detail/Top-quality-Chitosan-9012-76-4_564569865.html","China (Mainland)","Xi'an Lyphar Biotech Co., Ltd.","http___i01.i.aliimg.com_photo_v2_564569865_Top_quality_Chitosan_9012_76_4.jpg"
"Best quality Hyaluronic Acid","280","300","1","Gram","300.0","http://www.alibaba.com/product-detail/Best-quality-Hyaluronic-Acid_1876672619.html","China (Mainland)","Xi'an Lyphar Biotech Co., Ltd.","http___i01.i.aliimg.com_photo_v7_1876672619_Best_quality_Hyaluronic_Acid.jpg"
"Supply high quality 99% Noopept CAS NO :157115-85-0","1","22","1","Kilogram","22.0","http://www.alibaba.com/product-detail/Supply-high-quality-99-Noopept-CAS_1922514510.html","China (Mainland)","Shaanxi Orient Industrial Co., Ltd.","http___i00.i.aliimg.com_photo_v1_1922514510_Supply_high_quality_99_Noopept_CAS_NO.jpg"
"top quality Erlotinib hydrochloride cas: 183319-69-9","10","200","1","Kilogram","200.0","http://www.alibaba.com/product-detail/top-quality-Erlotinib-hydrochloride-cas-183319_1963037157.html","China (Mainland)","Xi'an Sciyu Biotech Co., Ltd.","http___i01.i.aliimg.com_photo_v0_1963037157_top_quality_Erlotinib_hydrochloride_cas_183319_69.jpg"
"99% purity High quality Melatonin","100","130","1","Kilogram","130.0","http://www.alibaba.com/product-detail/99-purity-High-quality-Melatonin_1603192559.html","China (Mainland)","Qingdao ZK Biotechnology Co., Ltd.","http___i01.i.aliimg.com_photo_v0_1603192559_99_purity_High_quality_Melatonin.jpg"
"Best quality Hyaluronic Acid","280","300","1","Gram","300.0","http://www.alibaba.com/product-detail/Best-quality-Hyaluronic-Acid_1876672619.html","China (Mainland)","Xi'an Lyphar Biotech Co., Ltd.","http___i01.i.aliimg.com_photo_v7_1876672619_Best_quality_Hyaluronic_Acid.jpg"
"High quality NOOPEPT, , CAS 157115-85-0, C17H22N2O4, from GMP ISO HACP certified manufacture","10","500","100","Kilograms","50000.0","http://www.alibaba.com/product-detail/High-quality-NOOPEPT-CAS-157115-85_1868082078.html","China (Mainland)","Shaanxi Pioneer Biotech Co., Ltd.","http___i00.i.aliimg.com_photo_v0_1868082078_High_quality_NOOPEPT_CAS_157115_85_0.jpg"
"Best quality of ALPHA LIPOIC ACID USP34","51.2","53.6","100","Kilograms","5360.0","http://www.alibaba.com/product-detail/Best-quality-of-ALPHA-LIPOIC-ACID_1710395258.html","China (Mainland)","Sinochem Qingdao Co., Ltd.","http___i00.i.aliimg.com_photo_v1_1710395258_Best_quality_of_ALPHA_LIPOIC_ACID_USP34.jpg"
"high quality hyaluronan","280","25000","1","Kilogram","25000.0","http://www.alibaba.com/product-detail/high-quality-hyaluronan_1633017423.html","China (Mainland)","Henan Boom Gelatin Co., Ltd.","http___i01.i.aliimg.com_photo_v79_1633017423_high_quality_hyaluronan.jpg"
"alpha-Arbutin 99% High quality CAS:497-76-7","200","260","1","Kilogram","260.0","http://www.alibaba.com/product-detail/alpha-Arbutin-99-High-quality-CAS_387059768.html","China (Mainland)","Shaanxi Sciphar Hi-Tech Industry Co., Ltd.","http___i00.i.aliimg.com_photo_v5_387059768_alpha_Arbutin_99_High_quality_CAS_497.jpg"
"Good quality L-Arginine FCC USP","0","1","500","Kilograms","500.0","http://www.alibaba.com/product-detail/Good-quality-L-Arginine-FCC-USP_622437302.html","China (Mainland)","Landy Enterprise Limited","http___i00.i.aliimg.com_photo_v2_622437302_Good_quality_L_Arginine_FCC_USP.jpg"
"Pharmaceutical Drug:dl-panthenol,Cas:16485-10-2, with best quality and price","1","100","1","Kilogram","100.0","http://www.alibaba.com/product-detail/Pharmaceutical-Drug-dl-panthenol-Cas-16485_1663254838.html","China (Mainland)","Shenzhen Ideal Pharmtech Co., Ltd.","http___i00.i.aliimg.com_photo_v1_1663254838_Pharmaceutical_Drug_dl_panthenol_Cas_16485_10.jpg"
"High quality factory PBP Monobenzone","100","120","100","Grams","12000.0","http://www.alibaba.com/product-detail/High-quality-factory-PBP-Monobenzone_60038912024.html","China (Mainland)","Shanxi Jinjin Chemical Industrial Co., Ltd.","http___i00.i.aliimg.com_photo_v3_60038912024_High_quality_factory_PBP_Monobenzone.jpg"
"Top quality cheap price ibutamoren mesylate MK-677 CAS:159752-10-0","1","1000","10","Grams","10000.0","http://www.alibaba.com/product-detail/Top-quality-cheap-price-ibutamoren-mesylate_1410931196.html","China (Mainland)","Wuhan Hengheda Pharm Co., Ltd.","http___i00.i.aliimg.com_photo_v2_1410931196_Top_quality_cheap_price_ibutamoren_mesylate_MK.jpg"
"High quality antibacterial CEPHRADINE,99% purity Cephradine compacted pharmaceutical raw materials","30","68","1","Kilogram","68.0","http://www.alibaba.com/product-detail/High-quality-antibacterial-CEPHRADINE-99-purity_1880880361.html","China (Mainland)","Hunan Arshine Biotechnology Co., Limited","http___i01.i.aliimg.com_photo_v2_1880880361_1_High_quality_antibacterial_CEPHRADINE_99_purity_Cephradine.jpg"
